Run,SpecifySystem,DeploySystem,DesignHardware,PrototypeHardware,TestHardware,ManufactureHardware,DesignSoftware,ImproveSoftware,ReleaseSoftware,DesignDocumentation,DesignTraining,PrepareCertification,TrainOperators,FinalizeCertification,Total duration at mid_gate,Total duration,Label
116,9.8,4.6,8.5,6.6,2.3,9.3,18.5,9.3,9.7,6.7,4.7,11.0,7.5,16.3,67.97,124.8,1
642,7.9,6.1,9.3,5.8,1.9,10.2,16.5,8.4,8.8,5.8,5.0,9.3,6.8,11.9,61.42,113.72,0
530,7.3,7.2,11.5,6.3,1.8,11.4,14.4,8.1,9.7,6.6,5.2,10.4,6.3,12.2,63.7,118.58,0
844,7.6,7.7,11.1,5.0,2.9,11.1,17.2,9.4,9.8,6.6,5.7,11.1,7.7,15.0,67.33,128.07,1
692,8.6,5.9,8.8,6.0,2.8,10.2,19.2,9.0,9.6,7.4,4.8,11.0,7.0,12.1,68.51,122.26,1
283,8.2,6.4,9.7,6.6,1.5,11.0,17.4,9.4,8.2,6.5,5.7,11.3,7.3,18.8,66.89,128.02,1
994,6.4,4.6,8.7,4.5,1.2,8.3,12.8,8.4,8.4,4.5,4.2,7.0,6.4,11.8,49.23,97.05,0
537,7.2,5.4,9.5,5.6,1.5,9.3,13.2,8.5,8.4,5.6,4.2,6.9,6.1,14.0,53.63,105.31,0
512,7.3,6.1,9.7,6.1,1.3,10.6,17.2,9.3,8.9,5.5,5.6,9.8,7.4,12.7,62.44,117.37,0
861,7.6,5.8,9.5,5.9,1.7,8.6,15.4,8.3,8.3,5.8,5.0,7.9,7.0,11.6,58.7,108.24,0
394,8.3,4.8,9.0,6.1,1.8,9.8,16.8,9.3,8.7,6.6,4.8,8.5,7.3,15.5,61.99,117.42,0
416,7.2,5.7,11.2,6.7,2.5,10.4,15.4,9.7,8.3,6.3,5.8,10.3,7.4,19.7,65.39,126.5,1
273,9.7,6.3,9.9,4.2,2.0,10.7,14.5,10.0,9.0,7.2,5.9,8.9,7.8,18.4,62.35,124.46,1
890,7.8,6.3,10.0,5.2,1.6,9.8,16.6,8.2,8.5,5.3,4.3,9.5,6.9,14.1,60.22,114.03,0
266,8.0,5.5,9.5,5.5,2.0,9.6,13.6,9.1,9.2,5.4,4.9,9.6,7.1,11.1,58.43,110.09,0
535,7.5,5.6,10.1,5.8,2.0,9.4,14.3,9.1,8.9,5.8,5.1,9.5,7.1,10.4,60.22,110.65,0
426,8.8,7.0,9.4,5.9,1.6,8.1,17.7,9.5,8.6,5.8,5.1,8.8,7.5,17.4,63.06,121.11,1
577,8.1,5.4,9.1,5.7,2.1,9.9,16.3,8.6,8.3,5.3,4.9,8.9,7.0,15.0,60.38,114.62,0
650,9.1,5.6,10.7,5.9,1.7,10.4,17.9,8.9,9.4,6.8,5.4,10.7,7.5,13.5,68.18,123.6,1
28,8.7,6.4,9.5,6.3,2.1,10.2,16.8,9.3,8.5,6.4,5.2,9.1,6.3,14.4,64.03,119.1,0
70,8.4,5.6,9.0,5.5,2.5,10.4,13.0,9.0,8.9,6.5,4.9,9.1,7.0,17.7,58.97,117.5,0
607,9.2,7.4,8.7,6.9,2.5,11.6,16.6,9.4,9.0,4.8,5.4,7.2,7.3,19.8,61.41,125.81,1
956,6.1,4.7,8.5,4.5,1.3,8.7,12.5,8.4,8.2,4.8,4.3,6.6,6.2,11.7,48.73,96.62,0
342,7.6,5.5,8.7,5.5,1.8,10.1,12.5,8.1,8.9,4.4,4.8,7.1,6.6,14.1,52.39,105.66,0
434,6.4,6.6,11.3,5.7,2.3,9.7,15.1,9.7,8.2,7.5,5.4,9.7,7.8,19.0,63.52,124.54,1
923,6.3,4.9,8.7,4.7,1.3,8.5,13.0,8.5,8.3,4.7,4.4,6.7,6.4,10.9,49.89,97.51,0
207,7.8,5.9,9.9,5.2,1.8,10.1,15.9,8.8,8.4,5.2,4.5,7.7,6.6,14.1,57.97,111.88,0
608,6.6,4.4,9.0,5.0,1.3,9.1,13.7,8.5,8.4,5.0,4.4,6.7,6.5,11.1,51.76,99.84,0
73,8.8,6.2,8.6,5.3,2.6,10.3,16.7,8.9,9.4,5.0,4.7,10.6,6.6,13.8,62.19,117.32,0
242,9.5,7.1,10.7,7.2,2.0,11.1,17.4,9.7,8.9,6.7,5.6,7.8,7.5,14.5,66.97,125.66,1
117,9.2,5.1,11.6,5.8,2.1,8.6,19.0,9.8,9.3,7.2,5.6,11.1,7.8,14.7,71.67,127.09,1
224,6.8,5.3,8.8,4.7,1.5,9.2,14.1,8.5,8.5,4.6,4.3,7.3,6.5,12.8,52.18,103.15,0
363,7.8,6.8,10.8,5.8,2.8,11.4,17.6,9.8,9.1,5.8,5.9,10.7,7.3,15.5,67.16,127.17,1
569,7.0,5.5,9.5,5.4,1.9,9.8,14.5,8.9,9.0,6.1,5.0,9.2,6.6,11.4,58.51,109.91,0
337,7.1,4.3,8.7,4.8,1.4,8.6,13.8,8.4,8.6,5.3,4.6,7.8,6.6,11.8,53.49,101.91,0
532,8.1,7.4,9.2,6.9,2.8,9.2,16.9,9.0,9.6,5.3,5.4,8.9,6.4,19.0,63.54,124.16,1
873,8.3,7.2,10.2,4.3,2.8,11.7,18.5,9.7,9.7,7.7,5.1,9.8,7.4,19.1,66.63,131.47,1
639,6.7,5.3,8.2,5.7,1.7,8.7,14.3,8.8,8.5,4.8,4.7,7.7,6.3,11.9,53.87,103.38,0
483,7.4,5.7,9.3,4.6,1.5,9.2,15.2,8.2,8.6,4.7,4.9,8.4,6.8,14.2,56.11,108.83,0
588,8.8,6.8,10.9,4.6,2.2,8.5,14.8,8.3,9.3,6.4,5.4,8.9,6.9,15.9,62.04,117.73,0
993,7.1,5.5,9.3,5.0,1.5,9.1,14.3,8.6,8.7,5.1,4.5,7.1,6.7,13.2,53.83,105.59,0
837,7.5,5.8,9.7,4.9,1.8,9.1,15.3,8.7,8.2,5.1,4.6,7.4,7.0,14.9,56.24,109.93,0
896,8.2,6.6,10.6,6.5,2.1,9.8,16.0,8.5,9.0,6.4,4.3,9.9,7.1,15.3,64.01,120.22,1
684,7.3,5.6,9.8,5.0,1.2,8.5,15.8,8.9,8.4,5.8,4.8,7.3,6.4,14.8,56.99,109.75,0
74,8.3,5.8,8.6,5.9,2.0,9.4,17.1,9.1,9.3,5.1,5.2,9.9,6.3,14.2,62.1,116.21,0
727,9.5,6.8,11.5,6.9,1.8,9.8,19.1,9.5,8.3,6.7,4.4,10.5,6.5,18.6,70.43,129.89,1
652,6.4,5.4,9.3,4.4,1.7,9.1,13.0,8.3,8.6,5.4,4.5,7.2,6.6,13.3,51.78,103.14,0
392,6.8,5.6,9.6,5.2,1.8,9.6,13.1,8.5,8.6,5.1,4.6,6.7,6.8,11.8,52.86,103.76,0
115,9.0,5.5,9.9,7.0,1.8,10.3,18.2,9.1,9.6,6.0,5.6,10.2,6.4,10.9,67.57,119.33,0
805,6.3,4.7,8.9,4.6,1.2,8.5,14.0,8.1,8.3,4.5,4.5,7.6,6.5,12.0,51.58,99.83,0
997,8.0,5.3,8.7,5.7,1.7,9.2,16.0,8.3,9.0,5.7,4.7,8.5,7.0,14.0,58.99,111.77,0
885,7.2,4.3,9.4,4.8,2.2,9.4,15.3,8.7,9.1,6.3,4.5,9.1,7.6,17.7,58.65,115.33,0
748,9.1,4.7,10.4,5.2,1.5,9.4,17.7,9.4,9.6,6.7,4.8,9.7,7.1,16.8,65.08,122.08,1
243,6.7,4.1,8.5,4.7,1.3,8.6,12.5,8.3,8.4,4.3,4.3,6.7,6.3,11.5,48.99,96.24,0
706,8.6,5.0,10.3,7.3,1.9,10.8,15.8,8.7,9.6,5.4,5.8,9.7,6.8,18.5,64.61,123.93,1
518,7.0,6.5,8.4,4.9,2.1,10.4,16.5,9.2,9.1,6.1,4.5,9.0,6.6,15.1,58.55,115.5,0
165,6.8,6.5,9.5,5.9,2.0,9.1,16.8,8.9,8.8,5.9,5.2,8.6,6.4,13.0,60.72,113.42,0
310,8.3,5.9,9.2,4.1,2.1,10.9,15.6,8.4,8.9,5.8,5.2,10.5,6.9,17.2,60.83,119.15,0
39,6.4,4.2,8.4,4.3,1.1,8.4,12.9,8.2,8.2,4.4,4.1,6.6,6.1,10.6,48.21,93.85,0
232,7.6,6.1,10.1,6.3,1.6,8.4,16.0,8.3,9.1,5.7,5.1,8.0,6.9,15.6,60.45,114.93,0
732,8.8,6.9,10.0,5.6,1.5,10.8,17.8,8.1,9.5,6.4,4.6,7.9,6.4,11.1,62.47,115.44,0
440,6.2,4.3,8.6,5.4,1.4,8.6,14.3,8.7,8.7,5.3,4.5,7.8,6.4,13.0,53.55,103.18,0
663,8.9,5.5,10.6,6.6,2.4,10.7,13.5,9.4,9.2,5.4,5.3,9.9,7.4,16.4,62.54,121.2,1
166,7.1,4.4,8.4,5.1,1.2,8.8,13.3,8.6,8.5,4.7,4.6,7.6,6.6,12.8,52.08,101.71,0
325,6.4,6.6,10.6,5.9,1.8,10.4,13.8,9.0,9.4,5.1,5.0,9.0,7.2,16.0,57.7,116.33,0
989,7.9,5.8,9.7,5.2,1.7,9.4,14.8,8.2,8.9,5.1,4.9,8.7,6.7,13.4,57.98,110.44,0
636,9.0,6.9,10.1,7.3,2.5,9.0,13.5,9.2,9.4,6.1,4.8,10.5,6.6,18.1,63.76,123.02,1
812,7.7,4.9,9.4,4.5,1.7,9.5,14.0,8.6,8.7,5.8,4.6,7.0,7.0,11.2,54.58,104.44,0
780,6.8,6.9,10.7,6.7,1.8,10.3,16.1,8.6,8.8,5.3,4.7,9.3,7.0,15.5,61.38,118.41,0
14,7.1,5.4,8.7,5.8,1.5,9.2,14.5,8.1,8.6,5.4,4.2,7.9,6.7,10.8,55.12,103.93,0
493,7.3,5.5,8.5,4.7,1.8,9.1,13.9,8.7,8.7,5.4,4.3,7.5,6.2,13.9,53.33,105.45,0
69,7.4,5.0,8.9,5.8,1.8,8.9,13.1,8.8,8.4,4.3,4.5,8.7,6.5,13.7,54.51,105.95,0
428,6.7,5.8,9.7,6.1,2.5,9.1,15.1,8.5,9.3,6.8,4.7,7.7,6.9,15.5,59.36,114.48,0
466,7.6,6.0,8.7,5.7,2.0,9.8,13.6,8.4,8.7,6.0,5.0,7.9,6.9,14.8,56.35,110.96,0
76,8.3,6.8,9.5,5.8,2.4,9.5,16.1,9.4,9.0,6.0,4.3,7.9,6.4,16.9,60.31,118.29,0
6,6.6,4.5,8.6,4.4,1.3,8.5,13.2,8.3,8.1,4.0,4.2,6.6,6.2,10.9,48.93,95.49,0
729,6.6,4.7,8.4,4.4,1.1,8.0,13.0,8.3,8.2,4.6,4.1,6.8,6.2,11.0,49.03,95.45,0
385,6.7,5.1,9.1,5.1,1.6,9.1,12.9,8.3,8.4,4.9,4.6,7.7,6.6,12.8,52.46,102.8,0
792,6.5,6.4,9.6,6.3,2.0,10.2,14.4,9.1,9.1,6.0,4.2,7.9,6.9,16.5,56.94,115.06,0
829,7.3,4.6,9.3,4.8,1.6,8.6,14.4,8.7,8.4,5.4,4.6,6.9,6.5,13.1,54.37,104.31,0
510,8.9,7.4,8.6,6.2,1.6,8.5,18.6,8.9,9.6,6.7,5.2,9.1,7.2,14.1,65.06,120.73,1
84,9.1,7.6,11.3,5.6,2.3,10.3,18.0,9.5,9.7,7.2,4.9,8.0,7.2,12.5,66.38,123.1,1
450,7.9,4.7,9.3,5.7,2.5,10.6,17.5,9.2,8.8,4.5,5.2,8.6,7.1,17.7,61.21,119.31,0
130,8.8,6.1,9.7,5.3,1.2,10.2,17.4,9.3,9.2,5.0,5.1,9.4,6.4,16.6,61.89,119.74,0
230,8.7,5.4,10.1,6.7,2.3,9.0,14.4,8.7,8.9,6.5,5.3,9.5,6.2,17.0,63.65,118.83,0
484,7.2,4.7,9.1,4.5,1.4,8.5,14.0,8.5,8.6,4.8,4.5,7.2,6.4,12.7,52.68,102.03,0
66,7.7,6.1,8.9,7.1,2.6,10.6,18.9,9.1,9.4,6.6,4.9,10.8,7.0,18.6,67.46,128.32,1
431,8.5,5.3,11.7,6.9,2.3,11.4,19.6,9.7,9.7,5.6,5.8,8.3,7.2,14.7,68.82,126.81,1
201,6.8,5.7,10.7,5.8,1.6,8.9,18.2,9.4,9.4,7.2,5.6,8.6,7.0,17.2,64.56,122.15,1
339,8.5,5.5,9.3,6.7,2.2,10.3,17.4,8.8,9.3,6.7,5.1,9.7,6.6,15.5,65.57,121.57,1
985,9.5,5.8,10.1,5.3,2.3,9.2,18.2,9.2,9.6,5.9,5.6,9.8,6.6,17.5,66.7,124.54,1
881,9.4,7.1,10.1,6.2,2.3,11.7,16.5,9.4,8.1,8.0,6.0,11.8,7.9,15.7,70.45,130.39,1
634,6.7,4.5,8.8,5.1,1.5,9.2,13.2,8.6,8.6,4.7,4.6,7.7,6.5,13.0,52.41,102.8,0
778,9.0,5.7,10.5,6.5,2.7,11.0,16.7,9.7,9.3,6.5,5.0,9.2,7.5,16.3,66.16,125.63,1
10,8.8,5.9,10.9,6.9,1.6,9.5,17.4,9.4,9.4,7.0,5.1,8.3,7.5,17.5,65.81,125.06,1
777,9.1,4.8,11.2,6.2,2.6,11.2,17.2,9.3,8.1,6.3,4.7,11.0,7.5,13.8,68.17,122.77,1
889,6.9,5.9,9.3,4.8,1.7,9.6,15.4,8.6,8.6,5.1,4.8,8.4,6.7,14.2,56.42,110.0,0
26,6.7,6.7,10.5,7.3,2.5,8.8,17.3,8.3,9.3,5.3,5.8,8.8,7.8,16.1,64.13,121.11,1
811,7.2,7.7,10.3,6.6,2.2,10.0,18.9,9.0,9.2,5.5,5.4,9.3,6.4,17.8,65.27,125.33,1
691,8.1,6.9,10.9,6.7,1.5,10.3,18.6,9.6,8.6,5.7,4.8,8.8,7.7,17.2,65.05,125.35,1
688,8.0,5.7,9.8,6.5,1.9,8.4,15.9,8.2,8.9,4.9,5.2,10.0,7.2,14.4,62.09,114.89,0
203,6.3,4.4,8.3,4.4,1.1,8.6,13.0,8.2,8.3,4.7,4.3,6.2,6.1,11.5,48.32,95.53,0
628,7.2,6.2,10.9,7.0,1.6,9.9,17.9,9.5,9.5,6.3,5.5,10.6,7.5,15.9,66.92,125.31,1
80,9.7,5.1,11.7,4.5,2.8,11.1,13.4,9.7,9.4,6.6,5.5,8.0,7.3,15.5,62.2,120.26,1
604,6.9,5.1,8.7,4.8,1.8,8.6,13.6,8.8,8.8,5.3,4.4,7.3,6.2,11.7,52.84,101.98,0
185,7.1,5.7,10.2,7.2,2.5,10.9,17.5,9.1,9.4,7.1,4.5,10.3,7.4,13.7,66.43,122.57,1
228,7.0,5.3,8.1,4.4,1.1,8.5,14.1,8.4,8.2,4.6,4.0,6.8,6.4,13.0,50.18,100.08,0
928,8.9,7.9,11.2,6.4,2.7,11.1,18.8,9.8,8.8,6.2,5.0,11.9,7.0,12.3,71.22,128.13,1
563,6.9,5.6,9.5,5.8,1.9,9.5,13.3,8.5,8.7,5.1,4.6,7.0,6.7,14.3,53.96,107.27,0
457,9.1,7.5,11.4,7.5,2.7,10.7,19.1,8.5,9.2,5.9,5.2,8.2,7.1,15.0,69.08,127.12,1
386,7.0,5.7,9.6,6.3,1.9,9.5,14.1,9.3,8.6,5.9,4.5,10.0,6.8,14.0,59.25,113.13,0
320,8.6,6.3,9.7,6.5,1.1,10.1,16.7,9.3,8.9,4.3,5.1,8.8,7.3,12.3,60.77,115.0,0
238,6.0,5.1,8.4,4.5,1.3,8.6,14.2,8.2,8.6,5.0,4.5,7.7,6.6,13.0,51.55,101.62,0
948,6.4,4.8,9.1,4.8,1.8,9.6,16.7,9.1,8.7,6.4,5.0,8.6,7.1,15.4,58.83,113.45,0
946,8.6,5.9,10.9,6.7,2.3,10.4,17.1,9.4,8.5,5.8,4.6,7.3,6.7,17.3,63.39,121.6,1
176,9.6,7.4,10.4,7.1,2.7,11.5,17.7,8.6,8.7,7.1,5.9,7.5,7.0,17.3,68.07,128.55,1
19,6.5,4.7,8.2,4.7,1.1,8.7,13.4,8.2,8.3,4.6,4.3,6.3,6.2,11.1,49.09,96.36,0
869,9.0,6.9,9.5,7.5,2.8,11.5,14.9,9.7,8.5,7.2,5.8,9.3,6.7,12.5,65.98,121.77,1
433,7.2,6.4,10.0,6.0,2.2,9.3,17.9,9.3,9.2,5.1,4.7,7.0,6.7,13.5,60.12,114.59,0
121,6.9,6.0,9.6,5.4,1.6,10.0,13.9,8.9,8.5,5.9,4.8,8.5,6.1,14.0,56.59,109.98,0
178,7.7,7.2,10.0,7.1,2.3,10.8,14.4,9.2,9.0,7.1,4.7,9.8,6.2,17.0,63.16,122.65,1
306,6.9,5.4,8.1,4.6,1.6,9.4,12.7,8.2,8.3,4.8,4.5,7.6,6.2,12.4,50.73,100.54,0
644,7.8,6.8,11.0,4.7,2.5,11.0,16.2,9.1,9.7,6.1,4.7,9.2,6.5,15.1,62.21,120.53,1
976,8.6,5.1,8.6,5.8,1.7,10.7,15.6,8.8,8.4,5.8,4.5,9.7,6.3,13.1,60.39,112.92,0
295,8.4,7.7,11.6,7.6,2.9,11.3,13.0,8.1,8.7,5.9,5.1,11.6,7.3,15.5,66.02,124.57,1
984,9.6,6.1,11.0,6.9,1.8,11.5,16.7,9.5,8.9,6.9,5.8,10.7,7.8,14.8,69.37,127.98,1
953,6.7,4.6,8.5,4.6,1.3,8.6,13.6,8.4,8.4,4.9,4.3,7.1,6.1,11.6,51.22,98.95,0
141,8.7,4.6,9.1,5.2,2.1,9.8,16.7,9.1,8.9,4.6,4.5,9.7,7.2,15.9,60.79,116.28,0
676,8.0,6.4,10.8,6.9,2.2,10.5,16.4,9.1,9.5,6.4,5.4,8.1,7.1,11.3,64.08,117.91,0
958,7.6,7.1,10.4,4.9,1.8,11.2,17.9,9.2,9.0,6.6,5.1,8.2,6.5,16.4,62.5,121.79,1
804,8.6,5.5,10.6,6.0,2.3,9.2,16.9,9.3,9.2,6.6,5.1,8.3,7.0,15.9,64.34,120.41,1
214,8.6,7.0,10.3,6.1,2.8,9.9,13.6,9.5,8.6,4.5,5.1,8.5,7.6,13.0,59.44,115.12,0
137,6.5,4.7,8.9,5.1,1.3,8.6,14.1,8.1,8.5,5.3,4.1,6.6,6.6,12.5,51.83,100.83,0
851,7.7,5.9,9.8,6.6,2.0,9.8,14.9,8.8,8.2,6.6,5.0,8.6,7.0,12.5,61.2,113.41,0
380,6.3,5.6,8.9,5.3,1.5,10.5,15.1,9.2,9.0,6.0,4.8,7.9,6.1,11.3,55.79,107.46,0
41,8.4,7.1,11.2,6.1,1.9,11.6,19.0,9.6,9.4,5.4,5.7,11.3,6.9,17.2,69.07,130.79,1
740,8.2,6.5,11.7,6.6,2.9,9.9,17.0,9.1,9.4,7.9,5.0,10.1,7.9,14.7,69.47,127.1,1
172,8.6,5.1,9.7,5.3,2.1,9.4,13.6,8.4,9.3,5.2,5.0,8.5,6.3,11.6,57.91,108.05,0
180,7.2,5.0,8.7,4.7,1.5,8.9,13.8,8.5,8.5,5.2,4.5,7.1,6.1,12.4,52.65,102.12,0
822,9.6,5.4,9.0,6.8,2.7,11.1,17.1,9.5,9.1,7.7,5.0,10.5,7.8,19.6,68.44,131.03,1
9,6.9,6.9,11.5,6.7,1.4,11.3,15.8,9.1,9.2,6.8,5.5,9.7,7.7,18.2,64.25,126.69,1
77,7.1,4.4,10.9,7.4,1.3,10.1,18.8,9.8,9.4,7.1,5.2,9.0,7.0,11.0,66.79,118.41,0
272,6.4,5.4,8.8,4.4,1.6,9.4,15.0,8.1,8.5,5.1,4.2,8.2,6.5,12.1,53.67,103.67,0
430,8.9,7.2,10.9,7.9,1.9,11.7,15.8,9.5,9.8,7.2,5.1,11.1,8.0,16.9,68.92,132.03,1
646,9.2,5.5,10.5,5.6,1.9,10.7,17.9,9.4,9.6,6.2,4.2,10.6,7.5,17.6,66.07,126.38,1
277,8.1,4.3,10.2,7.0,2.0,11.1,16.1,9.6,9.5,4.5,4.7,8.6,7.1,14.6,61.23,117.46,0
605,7.4,6.5,9.1,6.2,1.5,9.9,13.8,8.6,8.9,6.6,4.3,9.5,7.3,15.3,58.4,114.89,0
40,8.7,6.5,11.1,7.1,2.2,11.0,15.6,9.0,9.2,6.8,5.5,10.3,7.6,16.2,67.52,126.98,1
32,6.4,5.1,10.0,5.9,1.4,10.2,17.2,8.6,9.2,5.8,5.2,7.5,6.8,16.8,59.41,116.24,0
990,7.2,4.9,8.7,5.2,1.7,9.5,12.9,8.6,8.8,5.2,4.7,6.8,6.3,13.3,52.29,103.63,0
686,7.2,4.7,9.9,5.4,1.3,10.1,16.1,8.9,9.0,5.9,4.9,9.1,6.7,13.5,59.92,112.87,0
334,6.6,5.0,9.3,6.0,2.0,9.3,15.8,8.6,8.8,5.8,4.8,8.2,6.6,14.0,58.51,110.84,0
671,9.1,7.4,10.3,4.8,1.4,10.7,17.0,9.7,9.6,5.0,4.5,10.7,7.4,14.1,62.83,121.77,1
411,8.7,4.4,11.1,7.2,2.6,10.0,15.8,9.3,9.0,7.4,5.1,9.3,7.8,16.0,67.09,123.54,1
629,7.4,5.8,10.1,5.5,2.3,10.2,16.5,9.2,9.2,5.0,4.4,8.5,7.3,16.7,59.81,118.21,0
120,7.8,6.4,11.7,5.8,2.0,9.7,19.3,9.5,9.1,6.5,5.5,11.7,6.6,18.8,70.25,130.25,1
